Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-04-08,277.6905,281.16,270.4395,273.1995,10410436
2019-04-09,271.65,274.9995,269.61,272.31,5904031
2019-04-10,276.7395,278.3805,272.895,276.06,7061314
2019-04-11,268.3005,270.4995,265.6005,268.4205,9835927
2019-04-12,270.2205,271.95,266.8305,267.7005,6745974
2019-04-15,268.6305,268.8795,258.63,266.3805,10038579
2019-04-16,265.7505,274.9995,264.72,273.36,7272930
2019-04-17,274.7505,274.7895,268.5345,271.23,5126468
2019-04-18,271.23,274.8405,269.7495,273.2595,5876325
2019-04-22,268.9995,269.6805,262.4805,262.7505,12147141
2019-04-23,260.1495,265.6005,255.75,263.8995,10943859
2019-04-24,263.85,265.32,258,258.66,10727454
2019-04-25,255,259.0005,246.0705,247.5705,21849393
2019-04-26,246.4995,246.6795,231.1305,235.14,22360709
2019-04-29,235.86,243.9795,232.17,241.47,16714476
2019-04-30,242.0595,244.2105,237,238.6905,9464628
2019-05-01,238.8495,240,231.4995,234.0105,10704354
2019-05-02,245.52,247.1295,237.72,244.0995,18159339
2019-05-03,243.8595,256.6095,243.4905,255.03,23706771
2019-05-06,250.02,258.3495,248.5005,255.3405,10833943
2019-05-07,256.8,257.2095,245.1,247.0605,10131408
2019-05-08,246.9405,250.6005,244.2,244.8405,6176440
2019-05-09,241.9995,243.6795,236.9445,241.98,6711382
2019-05-10,239.7495,241.9905,236.0205,239.52,7008336
2019-05-13,232.0095,232.47,224.5005,227.01,10834796
2019-05-14,229.3005,234.4995,228,232.3095,7252412
2019-05-15,229.32,232.44,225.2505,231.9495,7295976
2019-05-16,229.4895,231,226.5,228.33,7483273
2019-05-17,221.9595,222.24,208.92,211.0305,17786666
2019-05-20,202.8,205.9995,195.2505,205.3605,20526195
2019-05-21,197.76,207.4005,196.0395,205.08,18003899
2019-05-22,199.0995,203.94,191.7795,192.7305,18685187
2019-05-23,194.34,199.4655,186.2205,195.4905,26547142
2019-05-24,199.83,199.98,188.7495,190.6305,14136572
2019-05-28,191.2005,195,187.8495,188.7,10312901
2019-05-29,187.0995,192.39,185.04,189.8595,11968638
2019-05-30,188.7495,192.255,187.02,188.22,7926475
2019-05-31,185.1,189.9195,184.0995,185.16,10406732
2019-06-03,185.5095,186.6795,176.9895,178.9695,13064410
2019-06-04,181.0995,193.98,179.61,193.6005,13807522
2019-06-05,198.6795,201.2805,191.85,196.59,13510756
2019-06-06,204.4395,211.0005,201.7995,205.95,20242151
2019-06-07,205.0005,210.8445,203.5005,204.4995,16003527
2019-06-10,210.2505,216.9405,209.01,212.88,10585039
2019-06-11,219.1455,220.9005,213.4995,217.0995,11653537
2019-06-12,222.9495,223.38,208.9995,209.2605,15197544
2019-06-13,210.3795,214.9005,207.51,213.9105,8168260
2019-06-14,211.2495,216.6495,210.4005,214.92,7433402
2019-06-17,215.4795,226.9995,214.2705,225.03,12316803
2019-06-18,228.72,234.7395,222.5595,224.7405,12715788
2019-06-19,225.1095,227.7705,221.0595,226.4295,6575135
2019-06-20,223.0005,226.9005,216.3495,219.6195,11863462
2019-06-21,216.2205,222.18,215.5005,221.8605,8202078
2019-06-24,223.2405,225.8595,221.0205,223.6395,5750771
2019-06-25,224.3895,225.3405,219.4905,219.7605,6182071
2019-06-26,220.3095,227.2305,218.1,219.27,8507208
2019-06-27,219.45,222.9,217.35,222.84,6339710
2019-06-28,220.9905,225.1695,220.8,223.4595,6851384
2019-07-01,230.2095,233.1,226.2795,227.1705,8237964
2019-07-02,228.8895,229.1505,222.2205,224.55,9259027
