
        Jakobi
iters =26, secs =0.443
7.946887e+01,
2.887163e+01,
1.049229e+01,
3.813419e+00,
1.386075e+00,
5.038236e-01,
1.831407e-01,
6.657371e-02,
2.420081e-02,
8.797614e-03,
3.198206e-03,
1.162662e-03,
4.226743e-04,
1.536606e-04,
5.586283e-05,
2.030893e-05,
7.383363e-06,
2.684259e-06,
9.758817e-07,
3.547909e-07,
1.289882e-07,
4.689534e-08,
1.704949e-08,
6.198616e-09,
2.253616e-09,
8.193449e-10

        Gauss_Seidl
iters =18, secs =0.206
4.857893e+01,
1.078372e+01,
2.394510e+00,
5.317278e-01,
1.180793e-01,
2.622192e-02,
5.823171e-03,
1.293175e-03,
2.871820e-04,
6.377617e-05,
1.416318e-05,
3.145315e-06,
6.985026e-07,
1.551217e-07,
3.444906e-08,
7.650373e-09,
1.698979e-09,
3.773060e-10
